time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448550000	20.0909	14.4384	4.64554	1.80041	0.514574	radar	1.65203	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9743	14.7188	4.80208	1.8457	0.531325	lidar	2.44575	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9075	14.93	4.7835	1.87008	0.527945	radar	3.03223	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8683	15.1542	4.7558	1.88581	0.519228	lidar	1.37608	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.769	15.33	4.41398	1.93572	0.549437	radar	9.30264	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7337	15.5182	4.34027	1.94955	0.538113	lidar	1.83085	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6533	15.7037	4.30067	1.97646	0.537948	radar	1.06612	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5344	15.942	4.42733	2.01048	0.544363	lidar	0.571602	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4345	16.1436	4.47897	2.03478	0.539282	radar	1.52272	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.3181	16.3315	4.46635	2.06663	0.543099	lidar	0.519785	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.2095	16.517	4.42602	2.09628	0.546357	radar	0.259234	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0595	16.756	4.58152	2.1294	0.551735	lidar	0.71856	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.9173	16.9398	4.48507	2.17539	0.576275	radar	7.89313	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7153	17.2181	4.79503	2.2131	0.584688	lidar	2.68394	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5977	17.4237	4.85322	2.2206	0.557667	radar	4.64975	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3689	17.6384	5.01821	2.26664	0.572554	lidar	4.33378	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2207	17.8346	5.03828	2.28296	0.556421	radar	2.22904	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0913	18.0104	4.9527	2.30313	0.550174	lidar	0.854777	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9191	18.1649	4.88654	2.34037	0.561372	radar	2.02552	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8033	18.2856	4.68366	2.36391	0.557302	lidar	1.03693	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6729	18.4587	4.6428	2.37768	0.543398	radar	6.60519	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4595	18.6554	4.79672	2.40753	0.545793	lidar	0.583264	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2845	18.7937	4.74738	2.43878	0.549948	radar	1.67907	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1299	18.9197	4.64683	2.4652	0.548954	lidar	0.24026	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9605	19.0888	4.66424	2.48156	0.537663	radar	3.24215	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7385	19.2085	4.69626	2.52016	0.546806	lidar	2.70862	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5436	19.3663	4.74406	2.5428	0.543334	radar	3.21736	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2979	19.5415	4.91771	2.56881	0.54242	lidar	0.721272	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0797	19.6266	4.87337	2.61084	0.556552	radar	10.0088	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8699	19.7703	4.90665	2.63272	0.551901	lidar	0.683513	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6881	19.8845	4.77532	2.6484	0.535392	radar	3.73577	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4404	20.045	4.92884	2.66814	0.529659	lidar	1.17756	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2198	20.1915	4.95727	2.68202	0.516464	radar	5.9539	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0443	20.307	4.86262	2.69901	0.509807	lidar	2.25326	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
